time_s,r_eci_x_m,r_eci_y_m,r_eci_z_m,v_eci_x_mps,v_eci_y_mps,v_eci_z_mps,latitude_deg,longitude_deg,altitude_m,downrange_m,crossrange_m,speed_mps,radial_velocity_mps,tangential_velocity_mps,mass_kg,stage_id,thrust_N,pitch_ref_deg,azimuth_ref_deg,qw_ref,qx_ref,qy_ref,qz_ref,omega_ref_x_radps,omega_ref_y_radps,omega_ref_z_radps,rho_kgpm3,dynamic_pressure_Pa,drag_x_N,drag_y_N,drag_z_N
0,-1168961.88188969,5499533.26637081,3014702.34393692,-401.032290247016,-85.24204473356,0,28.2,102,1500,0,0,409.991590171219,-9.34295239296384e-15,409.991590171219,172000,1,2800000,90,44.3647618564369,0.636666061554538,-0.0551332988624192,-0.426540904752898,0.640062107919036,3.44589450893759e-05,-4.49360000294049e-05,4.59437817970273e-05,1.02682370471817,0,-0,-0,-0
0.1,-1169001.99106323,5499524.77013276,3014702.35926739,-401.151208778432,-84.6825870625666,0.306680509002864,28.1999999993656,101.999999999999,1500.03257371206,-5.05980267195455e-05,4.92926845890977e-05,409.992105910517,0.651624389084302,409.991588077849,171904.826486789,1,2800000,90,44.3647618564369,0.636663727846276,-0.0551317436735777,-0.426541105766507,0.640064429238088,3.44589447367413e-05,-4.49359204108015e-05,4.5943858748528e-05,1.02681976973034,0.218002226454837,0.134651747765522,-0.633486661600443,-0.345455307388924
0.2,-1169042.11213708,5499516.32987926,3014702.40528721,-401.270296479912,-84.1223536111298,0.613786759287645,28.1999999974623,101.999999999989,1500.13035490923,-0.000202783031947512,0.000196771314480346,409.993655985478,1.30414971761229,409.991581793886,171809.652973577,1,2800000,90,44.3647618564369,0.636661394128018,-0.0551301884924042,-0.426541306768975,0.640066750553078,3.44589436762702e-05,-4.49357607160441e-05,4.59440121836745e-05,1.02680795760236,0.873204916147977,0.539345302988888,-2.53742006802142,-1.38372036582553
0.3,-1169082.24512816,5499507.9456879,3014702.48203894,-401.389553391877,-83.5613442449136,0.921318827926655,28.1999999942903,101.999999999962,1500.29343369231,-0.000457141527806765,0.000441835624524855,409.99624468101,1.9575761451606,409.991571313565,171714.479460366,1,2800000,90,44.3647618564369,0.636659060399813,-0.0551286333189305,-0.426541507760298,0.640069071863956,3.44589419101829e-05,-4.49356001015363e-05,4.59441646807173e-05,1.02678825772155,1.96738910487613,1.21518013375094,-5.71697262069079,-3.11762332984385
0.4,-1169122.3900534,5499499.61763628,3014702.58956517,-401.508979554177,-82.9995588323618,1.22927679047826,28.1999999898494,101.999999999909,1500.52190018073,-0.000814262150468305,0.000783883825960531,409.999876280994,2.61190382808953,409.991556631138,171619.305947155,1,2800000,90,44.3647618564369,0.636656726661709,-0.0551270781531887,-0.426541708740471,0.640071393170675,3.44589394340386e-05,-4.49354385640168e-05,4.59443162327174e-05,1.02676065965638,3.50231836765832,2.16324494646758,-10.1772659641733,-5.54996470896282
0.5,-1169162.54692972,5499491.345802,3014702.7279085,-401.628575006094,-82.4369972446748,1.53766072099968,28.1999999841397,101.999999999822,1500.81584450509,-0.00127473125914713,0.00122231355896623,410.004555068157,3.26713291957028,409.99153774087,171524.132433944,1,2800000,90,44.3647618564369,0.636654392913753,-0.0551255229952109,-0.426541909709492,0.640073714473188,3.4458936247421e-05,-4.49352761056367e-05,4.59444668359972e-05,1.02672515315639,5.47973862602516,3.38461756709142,-15.9233704263586,-8.68351706188703
0.6,-1169202.71577405,5499483.1302627,3014702.89711152,-401.748339786353,-81.8736593557851,1.84647069206006,28.1999999771611,101.999999999692,1501.1753568165,-0.00183913983860568,0.00175652139535562,410.010285323935,3.92326356961263,409.991514637045,171428.958920732,1,2800000,90,44.3647618564369,0.636652059155994,-0.0551239678450287,-0.426542110667356,0.640076035771446,3.44589323520647e-05,-4.49351127237592e-05,4.59446164953447e-05,1.02668172815321,7.90137795584935,4.88036482264454,-22.9603044602253,-12.5210246915603
0.7,-1169242.89660332,5499474.97109601,3014703.09721684,-401.86827393312,-81.3095450423335,2.15570677475366,28.1999999689138,101.999999999511,1501.60052727628,-0.00250807614664004,0.00238590311888178,410.017071328347,4.58029592509312,409.991487313961,171333.785407521,1,2800000,90,44.3647618564369,0.63664972538848,-0.0551224127026745,-0.426542311614059,0.640078357065402,3.44589277426963e-05,-4.49349484178293e-05,4.5944765208227e-05,1.02663037476199,10.7689463957448,6.65154242310118,-31.2930340872593,-17.0652033411168
0.8,-1169283.08943448,5499466.86837958,3014703.32826708,-401.988377484013,-80.744654183644,2.46536903871335,28.1999999593977,101.999999999269,1502.09144606348,-0.0032821311587372,0.00310985361802041,410.024917359863,5.23823012978367,409.991455765934,171238.61189431,1,2800000,90,44.3647618564369,0.636647391611258,-0.0551208575681803,-0.426542512549596,0.640080678355008,3.44589224232708e-05,-4.49347831875692e-05,4.594491297284e-05,1.02657108328155,14.0841357560455,8.69919484362756,-40.9264723425596,-22.3187398907457
0.9,-1169323.29428447,5499458.82219107,3014703.59030486,-402.108650476103,-80.1789866616992,2.77545755212427,28.1999999486129,101.999999998959,1502.64820336737,-0.00416189531705312,0.00392776646248089,410.033827695269,5.89706632438069,409.991419987296,171143.438381098,1,2800000,90,44.3647618564369,0.636645057824377,-0.0551193024415781,-0.426542713473965,0.640082999640216,3.4458916390874e-05,-4.4934617031175e-05,4.5945059786443e-05,1.02650384419539,17.8486194283937,11.0243552071948,-51.8654787217183,-28.2842920555189
