mission_id,site,site_latitude_deg,site_longitude_deg,site_altitude_m,target_altitude_km,target_inclination_deg,payload_mass_kg,stage1_dry_mass_kg,stage1_prop_mass_kg,stage1_thrust_N,stage1_Isp_s,stage1_Cd,stage1_ref_area_m2,stage2_dry_mass_kg,stage2_prop_mass_kg,stage2_thrust_N,stage2_Isp_s,stage2_Cd,stage2_ref_area_m2,nominal_Ix_wet_kgm2,nominal_Iy_wet_kgm2,nominal_Iz_wet_kgm2,nominal_Ix_dry_kgm2,nominal_Iy_dry_kgm2,nominal_Iz_dry_kgm2,max_tvc_angle_deg,max_tvc_rate_degps,thrust_lever_arm_m,max_roll_rcs_torque_Nm,optimized_t_pitch_start_s,optimized_stage1_end_pitch_deg,optimized_stage2_mid_pitch_deg,optimized_final_pitch_deg,optimized_azimuth_deg,optimized_stage2_burn_s,stage1_burn_s,stage2_max_burn_s,stage2_actual_burn_s,final_altitude_km,final_speed_mps,final_radial_velocity_mps,final_tangential_velocity_mps,semi_major_axis_km,eccentricity,inclination_deg,raan_deg,perigee_altitude_km,apogee_altitude_km,max_dynamic_pressure_kPa,final_mass_kg,remaining_stage2_propellant_kg,objective_value,success_flag
1,Wenchang,19.65,110.966667,20,300,28.5,2000,10000,120000,2800000,300,0.35,9.62,4000,36000,400000,390,0.3,7.07,320000,38000000,38000000,60000,4500000,4500000,6,12,20,25000,13.2346344822669,28.9421030486554,-3.03496132286565,-0.847929939252242,69.1575120390414,311.265135156486,126.0855,344.213415,311.265135156486,299.999969080826,7725.76016912321,1.13270559336636e-05,7725.76016912321,6678.13682932707,2.09783539941417e-08,28.5000000957992,71.5438539156653,299.99968923075,299.999969423386,36.9950528421454,9445.93796371005,3445.93796371005,5.034859470843e-11,1
2,Wenchang,19.65,110.966667,20,500,51.6,2000,10000,120000,2800000,300,0.35,9.62,4000,36000,400000,390,0.3,7.07,320000,38000000,38000000,60000,4500000,4500000,6,12,20,25000,20.0850429483426,51.1265352872579,-13.9575841498167,-4.06834890010871,39.9593948704033,331.361113656245,126.0855,344.213415,331.361113656245,499.999973337891,7612.6080938732,4.43199396288768e-05,7612.6080938732,6878.1368032861,2.53997520835539e-08,51.6000002087891,95.9426389363668,499.999628583127,499.999977989065,36.8554951137425,7344.17436454484,1344.17436454484,6.81779057259364e-11,1
3,Xichang,28.2,102,1500,300,28.5,2000,10000,120000,2800000,300,0.35,9.62,4000,36000,400000,390,0.3,7.07,320000,38000000,38000000,60000,4500000,4500000,6,12,20,25000,10.1381605425629,28.301968300414,-1.27803021856339,-3.83159605013037,85.9955622490637,310.18039875364,126.0855,344.213415,310.18039875364,299.999976291667,7725.76018038582,-1.44954266139898e-06,7725.76018038582,6678.13686321953,1.69327287877338e-08,28.4999999241493,25.9685899423723,299.999750140448,299.999976298609,31.5222619315179,9559.38650697054,3559.38650697054,2.97597307719292e-11,1
4,Xichang,28.2,102,1500,500,51.6,2000,10000,120000,2800000,300,0.35,9.62,4000,36000,400000,390,0.3,7.07,320000,38000000,38000000,60000,4500000,4500000,6,12,20,25000,17.3839932546988,51.2628566541073,-14.829952249954,-2.88814003295074,44.3647618564369,331.063510113534,126.0855,344.213415,331.063510113534,499.999955564782,7612.60811787935,3.48748358897418e-05,7612.60811787935,6878.1368111199,2.14944599541562e-08,51.600000238441,78.4060063580284,499.999663278066,499.999958961738,31.2731646922949,7375.29961147226,1375.29961147226,1.0448503968168e-10,1
5,Cape Canaveral,28.458333,-80.528333,3,300,28.5,2000,10000,120000,2800000,300,0.35,9.62,4000,36000,400000,390,0.3,7.07,320000,38000000,38000000,60000,4500000,4500000,6,12,20,25000,12.9493390426152,29.5267534639389,-4.43615601204971,1.33923159242608,87.5657509843602,311.548209116195,126.0855,344.213415,311.548209116195,299.999984509032,7725.76021386733,1.14029550016446e-05,7725.76021386733,6678.136937537,7.18689374430589e-09,28.5000002976096,200.292892469273,299.999889541944,299.999985532066,37.0696557125142,9416.33231179347,3416.33231179347,2.05852151666298e-11,1
6,Cape Canaveral,28.458333,-80.528333,3,500,51.6,2000,10000,120000,2800000,300,0.35,9.62,4000,36000,400000,390,0.3,7.07,320000,38000000,38000000,60000,4500000,4500000,6,12,20,25000,19.8502187734253,51.1705515007117,-13.960852526677,-4.0747108842584,44.528671056381,331.384263237187,126.0855,344.213415,331.384263237187,499.999962306783,7612.60810418688,5.08606933198034e-05,7612.60810418688,6878.13679986108,2.45445008411237e-08,51.6000002329045,255.592183106592,499.999631040649,499.999968681518,36.9151274938375,7341.75323603092,1341.75323603092,1.00038959565532e-10,1
