time_s,r_eci_x_m,r_eci_y_m,r_eci_z_m,v_eci_x_mps,v_eci_y_mps,v_eci_z_mps,latitude_deg,longitude_deg,altitude_m,downrange_m,crossrange_m,speed_mps,radial_velocity_mps,tangential_velocity_mps,mass_kg,stage_id,thrust_N,pitch_ref_deg,azimuth_ref_deg,qw_ref,qx_ref,qy_ref,qz_ref,omega_ref_x_radps,omega_ref_y_radps,omega_ref_z_radps,rho_kgpm3,dynamic_pressure_Pa,drag_x_N,drag_y_N,drag_z_N
0,922757.968513834,-5530984.776603,3039308.3081731,403.325770542384,67.2885722356926,-0,28.458333,-80.528333,3,0,0,408.900267959225,0,408.900267959225,172000,1,2800000,90,44.528671056381,0.624326442441655,-0.427263428674568,0.0637821509191634,-0.650841219507127,3.47483523876417e-05,-4.49578379796031e-05,4.57038170397258e-05,1.22456772334743,0,-0,-0,-0
0.1,922798.305781175,-5530978.07585881,3039308.32362138,403.4195986907,66.7261816436356,0.309037090177495,28.4583329993618,-80.5283330000014,3.03255005273968,-5.07441180424625e-05,4.9720793346416e-05,408.900784333349,0.651151184086198,408.900265872453,171904.826486789,1,2800000,90,44.528671056381,0.624328815444296,-0.427263661222284,0.0637805930958635,-0.650838943171959,3.47483520288315e-05,-4.49577581135587e-05,4.57038946829996e-05,1.22456303397476,0.259607291810257,-0.126609435839686,0.758893316392053,-0.414846796194843
0.2,922838.652438053,-5530971.43139269,3039308.36999483,403.513561268304,66.1630106045706,0.61850341980325,28.4583329974472,-80.5283330000114,3.13026026263833,-0.000203367863812057,0.000198485831388225,408.902336317818,1.30320314440148,408.900259608299,171809.652973577,1,2800000,90,44.528671056381,0.624331188443165,-0.427263893758649,0.0637790352800428,-0.650836666826701,3.47483509581601e-05,-4.49575979223929e-05,4.57040495024901e-05,1.22454895731319,1.03985422473843,-0.507132340635466,3.03973656722087,-1.66166904887173
0.3,922879.00849791,-5530964.8432827,3039308.44733637,403.6076582858,65.5990591253077,0.928398988716987,28.4583329942563,-80.5283330000384,3.29322070721537,-0.000458457384670438,0.000445697747707185,408.904928204289,1.95615587644414,408.900249161017,171714.479460366,1,2800000,90,44.528671056381,0.624333561438215,-0.427264126283659,0.0637774774717329,-0.6508343904714,3.47483491781257e-05,-4.49574368114766e-05,4.57042033849178e-05,1.22452548070971,2.34286255092043,-1.14260290925817,6.84872840260794,-3.74386427349413
0.4,922919.373974192,-5530958.31160688,3039308.55568893,403.701889753209,65.0343272162662,1.23872379478619,28.458332989789,-80.5283330000912,3.52152146305889,-0.000816600131514645,0.000790758954592908,408.908564282315,2.61000937155874,408.900234524883,171619.305947155,1,2800000,90,44.528671056381,0.624335934429397,-0.427264358797308,0.0637759196709659,-0.650832114106103,3.4748346683177e-05,-4.49572747795609e-05,4.57043563299355e-05,1.22449259172871,4.17073272198739,-2.03404497687773,12.1920051857702,-6.66479597655815
0.5,922959.748880343,-5530951.83644327,3039308.69509544,403.796255679972,64.4688148914461,1.54947783392164,28.4583329840453,-80.5283330001781,3.81525260675699,-0.00127838468584848,0.00123307045324481,408.913248839202,3.26476361696876,408.900215694191,171524.132433944,1,2800000,90,44.528671056381,0.624338307416662,-0.427264591299592,0.0637743618777738,-0.650829837730857,3.47483434722038e-05,-4.49571118260214e-05,4.57045083381332e-05,1.22445027815283,6.52554365420702,-3.18247190469815,19.0756403067086,-10.4277932797788
0.6,923000.13322981,-5530945.41786991,3039308.86559881,403.890756074961,63.9025221683991,1.86066110009318,28.4583329770253,-80.5283330003079,4.17450421210378,-0.00184439923419531,0.00177203231985245,408.91898615987,3.92041859581003,408.900192663258,171428.958920732,1,2800000,90,44.528671056381,0.62434068039996,-0.427264823790507,0.0637728040921887,-0.650827561345708,3.47483395452062e-05,-4.49569479494701e-05,4.57046594051393e-05,1.22439852798431,9.40935249435968,-4.5888864660469,27.5056434980479,-15.0361505454444
0.7,923040.52703604,-5530939.05596485,3039309.06724197,403.985390946477,63.3354490681991,2.17227358534581,28.4583329687289,-80.5283330004891,4.59936635009944,-0.00251523325785508,0.00240704359598486,408.925780526709,4.57697428716446,408.900165426419,171333.785407521,1,2800000,90,44.528671056381,0.624343053379244,-0.427265056270047,0.0637712463142427,-0.650825284950703,3.4748334900727e-05,-4.49567831490052e-05,4.57048095264436e-05,1.22433732944612,12.8241943863764,-6.25428073283411,37.4879601531067,-20.4931270029841
0.8,923080.930312482,-5530932.75080611,3039309.30006783,404.080160302261,62.7675956154126,2.48431527981593,28.4583329591562,-80.5283330007303,5.08992909174412,-0.00329147717579019,0.00313750290308855,408.933636219437,5.23443066609456,408.900133978032,171238.61189431,1,2800000,90,44.528671056381,0.624345426354465,-0.427265288738209,0.0637696885439677,-0.650823008545889,3.47483295400151e-05,-4.49566174223367e-05,4.57049587047869e-05,1.22426667098179,16.7720822387523,-8.17963596238998,49.028470646237,-26.8019463767686
0.9,923121.343072584,-5530926.50247174,3039309.56411933,404.175064149494,62.1989618380682,2.79678617174797,28.4583329483072,-80.5283330010402,5.64628250617534,-0.00417372060403026,0.00396280683940598,408.942557514954,5.8927877036783,408.900098312474,171143.438381098,1,2800000,90,44.528671056381,0.624347799325572,-0.427265521194988,0.0637681307813959,-0.650820732131313,3.47483234595318e-05,-4.49564507707831e-05,4.57051069391284e-05,1.22418654125815,21.2550064928029,-10.3659224847059,62.1329896556324,-33.9657965152537
