time_s,r_eci_x_m,r_eci_y_m,r_eci_z_m,v_eci_x_mps,v_eci_y_mps,v_eci_z_mps,latitude_deg,longitude_deg,altitude_m,downrange_m,crossrange_m,speed_mps,radial_velocity_mps,tangential_velocity_mps,mass_kg,stage_id,thrust_N,pitch_ref_deg,azimuth_ref_deg,qw_ref,qx_ref,qy_ref,qz_ref,omega_ref_x_radps,omega_ref_y_radps,omega_ref_z_radps,rho_kgpm3,dynamic_pressure_Pa,drag_x_N,drag_y_N,drag_z_N
0,-2149353.47032853,5609008.46605237,2144805.44665211,-409.015347704275,-156.733326812847,0,19.65,110.966667,20,0,0,438.016997833956,0,438.016997833956,172000,1,2800000,90,69.1575120390414,0.539499664472404,-0.201113922416133,-0.540382521029066,0.613579687743028,2.45214533226556e-05,-6.41805913002869e-05,2.44344860548237e-05,1.22212103540424,0,-0,-0,-0
0.1,-2149394.38278822,5608992.82122943,2144805.45755384,-409.233897379053,-156.163000147837,0.218085149275135,19.6499999995176,110.966666999999,20.0325696449727,-1.92475595683847e-05,5.01368172551588e-05,438.01748017671,0.651543024004415,438.016995597251,171904.826486789,1,2800000,90,69.1575120390414,0.539497427320399,-0.201111952152104,-0.540383254296798,0.613581654787562,2.45214530711901e-05,-6.41805606851931e-05,2.44345644930519e-05,1.22211635258387,0.259399979989773,0.294496860133228,-0.768526627289462,-0.292344857093752
0.2,-2149435.31711826,5608977.23347869,2144805.49027923,-409.452754771016,-155.591882928888,0.436473207636566,19.6499999980703,110.966666999989,20.130338630639,-7.75476693600594e-05,0.000200334039167935,438.018929878369,1.30398682505076,438.016988883024,171809.652973577,1,2800000,90,69.1575120390414,0.539495190158058,-0.201109981891533,-0.540383987554132,0.613583621827542,2.45214523181813e-05,-6.41804987976147e-05,2.44347211216509e-05,1.22210229559706,1.0390229727085,1.17960257049922,-3.07832134765274,-1.17098697302731
0.3,-2149476.27334943,5608961.7028792,2144805.54485858,-409.671919890324,-155.019975164153,0.655164175451129,19.6499999956581,110.966666999962,20.2933970345184,-0.000175737766071137,0.000450272827886411,438.021350948347,1.95733139945682,438.016977685121,171714.479460366,1,2800000,90,69.1575120390414,0.539492952985427,-0.201108011634459,-0.540384720801053,0.613585588862928,2.45214510609925e-05,-6.41804355978915e-05,2.44348772543965e-05,1.22207885181595,2.34098772437527,2.65772187212165,-6.93565949569448,-2.63831983870383
0.4,-2149517.2515125,5608946.22951001,2144805.62132217,-409.891392745758,-154.447276865437,0.874158051697046,19.6499999922811,110.966666999909,20.5218349350616,-0.000314658465075396,0.0007996337743795,438.024747395059,2.61157673939388,438.016961997409,171619.305947155,1,2800000,90,69.1575120390414,0.539490715802552,-0.201106041380924,-0.540385454037547,0.613587555893678,2.45214492989298e-05,-6.41803710843581e-05,2.44350328814355e-05,1.22204600883055,4.16739168250271,4.73123535406149,-12.3467532843906,-4.69671296453139
0.5,-2149558.25163824,5608930.81345018,2144805.71970029,-410.111173344731,-153.873788048173,1.09345483397488,19.6499999879393,110.966666999822,20.8157424088567,-0.00049514785972488,0.00124809617938807,438.029123225796,3.26672283291935,438.016941813776,171524.132433944,1,2800000,90,69.1575120390414,0.53948847860948,-0.201104071130966,-0.540386187263599,0.613589522919753,2.45214470307441e-05,-6.41803052532675e-05,2.4435188006515e-05,1.22200375444895,6.52031076127885,7.40249918733642,-19.3177511100336,-7.34851161559131
0.6,-2149599.27375742,5608915.45477875,2144805.84002323,-410.331261693301,-153.299508731394,1.31305451851865,19.6499999826326,110.966666999692,21.1752095269039,-0.000718048381365768,0.00179533815124176,438.034482446613,3.92276966401034,438.016917128134,171428.958920732,1,2800000,90,69.1575120390414,0.539486241406255,-0.201102100884629,-0.540386920479194,0.613591489941113,2.45214442582397e-05,-6.41802381010115e-05,2.44353426289409e-05,1.22195207669842,9.40179910768261,10.6738448596761,-27.8547368593516,-10.5960365476289
0.7,-2149640.31790083,5608900.15357478,2144805.98232129,-410.551657796182,-152.724438937698,1.5329571002072,19.6499999763611,110.966666999511,21.6003263629973,-0.000984201712017934,0.00244103892541363,438.040829062199,4.5797172125973,438.016887934417,171333.785407521,1,2800000,90,69.1575120390414,0.539484004192924,-0.20110013064195,-0.540387653684316,0.613593456957715,2.45214409828042e-05,-6.41801696267575e-05,2.44354967442726e-05,1.22189096382619,12.8138888683593,14.5475789111308,-37.9637292188841,-14.4415837438965
0.8,-2149681.38409924,5608884.90991731,2144806.14662475,-410.772361656751,-152.148578693222,1.75316257257565,19.6499999691247,110.96666699927,22.0911829918623,-0.0012944513098621,0.00318487629214402,438.048167075766,5.23756545459842,438.016854226577,171238.61189431,1,2800000,90,69.1575120390414,0.539481766969533,-0.201098160402972,-0.540388386878951,0.613595423969521,2.45214371962498e-05,-6.41800998324483e-05,2.44356503547302e-05,1.22182040430153,16.7585899572976,19.0259826705971,-49.6506809867325,-18.8874241528957
0.9,-2149722.47238342,5608869.72388539,2144806.3329639,-410.993373277068,-151.57192802761,1.97367092782711,19.6499999609236,110.96666699896,22.6478694779798,-0.0016496416997246,0.00402652668617755,438.056500488922,5.89631436195486,438.016815998594,171143.438381098,1,2800000,90,69.1575120390414,0.539479529736129,-0.201096190167734,-0.540389120063084,0.613597390976488,2.45214329037113e-05,-6.41800287126716e-05,2.44358034555956e-05,1.2217403868152,21.2378898243022,24.1113119932345,-62.9214783866719,-23.9358034270123
1,-2149763.58278416,5608854.59555805,2144806.54136903,-411.214692657881,-150.994486973982,2.19448215684458,19.6499999517576,110.966666998573,23.2704758848995,-0.00205061877989365,0.00496566705449887,438.065833301558,6.55596390266602,438.016773244467,171048.264867887,1,2800000,90,69.1575120390414,0.539477292492758,-0.201094219936278,-0.540389853236699,0.613599357978577,2.45214281031069e-05,-6.41799562647905e-05,2.44359560535298e-05,1.22165090028131,26.2537532243321,29.8057969988689,-77.7819403848295,-29.5889416621227
1.1,-2149804.71533221,5608839.52501434,2144806.77187043,-411.436319798642,-150.416255568902,2.41559624920296,19.6499999416269,110.966666998099,23.9590922780335,-0.00249822874242545,0.00600197340275118,438.076169511717,7.2165140408256,438.016725958219,170953.091354676,1,2800000,90,69.1575120390414,0.539475055239466,-0.201092249708645,-0.540390586399781,0.613601324975747,2.45214227920775e-05,-6.41798824924134e-05,2.44361081452024e-05,1.22155193383908,31.808121987729,36.1116418114033,-94.2378180090027,-35.8490331381993
1.2,-2149845.87005837,5608824.51233328,2144807.02449837,-411.658254697518,-149.837233852343,2.63701319318134,19.6499999305314,110.966666997532,24.7138087125495,-0.0029933188062104,0.00713512141848899,438.087513115484,7.87796473665855,438.016674133894,170857.917841465,1,2800000,90,69.1575120390414,0.539472817976298,-0.201090279484874,-0.540391319552316,0.613603291967956,2.45214169732599e-05,-6.41798073922096e-05,2.44362597232581e-05,1.22144347685175,37.902914791287,43.0310242991806,-112.294793670471,-42.7182460608594
1.3,-2149887.04699341,5608809.55759391,2144807.29928316,-411.880497351405,-149.257421867662,2.85873297577539,19.6499999184712,110.966666996861,25.5347152426839,-0.00353673793174031,0.00836478533339586,438.099868106861,8.54031594655789,438.016617765561,170762.744328253,1,2800000,90,69.1575120390414,0.539470580703303,-0.201088309265008,-0.540392052694289,0.613605258955164,2.45214106423519e-05,-6.41797309566851e-05,2.44364107911663e-05,1.22132551890947,44.540026930335,50.5660958164886,-131.958480488815,-50.1987223040537
1.4,-2149928.2461681,5608794.66087525,2144807.59625506,-412.103047755937,-148.676819661557,3.08075558271004,19.6499999054462,110.966666996078,26.4219019189477,-0.00412933626237438,0.00969063947091307,438.113238477642,9.20356762312248,438.016556847312,170667.570815042,1,2800000,90,69.1575120390414,0.539468343420527,-0.201086339049086,-0.540392785825684,0.61360722593733,2.452140380088e-05,-6.41796531900031e-05,2.44365613469841e-05,1.22119804982933,51.721330091721,58.718980946095,-153.234421619404,-58.2925771537639
1.5,-2149969.46761322,5608779.82225632,2144807.91544437,-412.325905905503,-148.095427284041,3.30308099845219,19.6499998914566,110.966666995174,27.3754587825388,-0.00477196394672447,0.0111123571064359,438.127628217303,9.86771971519551,438.01649137326,170572.397301831,1,2800000,90,69.1575120390414,0.539466106128015,-0.20108436883715,-0.540393518946485,0.613609192914413,2.4521396448428e-05,-6.41795740880003e-05,2.44367113907115e-05,1.2210610596566,59.4486721278134,67.4917772429304,-176.128089583902,-67.0018990528455
1.6,-2150010.71135954,5608765.04181613,2144808.25688136,-412.54907179326,-147.513244788404,3.52570920622379,19.6499998765022,110.966666994141,28.3954758737236,-0.00546547327423759,0.0126296119646218,438.14304131287,10.5327721679032,438.016421337545,170477.22378862,1,2800000,90,69.1575120390414,0.539463868825816,-0.20108239862924,-0.540394252056679,0.613611159886371,2.45213885847183e-05,-6.41794936501217e-05,2.44368609252629e-05,1.22091453866581,67.72387683152,76.886554978919,-200.644885603794,-76.3287493470119
1.7,-2150051.97743784,5608750.3196337,2144808.6205963,-412.772545411142,-146.930272231179,3.74864018801493,19.6499998605832,110.96666699297,29.4820432262495,-0.00621071687344409,0.0142420754402053,438.159481748805,11.1987249226943,438.016346734328,170382.050275408,1,2800000,90,69.1575120390414,0.539461631513974,-0.201080428425398,-0.54039498515625,0.613613126853163,2.45213802055876e-05,-6.41794118777551e-05,2.44370099420341e-05,1.22075847736117,76.5487437123221,86.9053568889681,-226.790138936921,-86.2751620319593
1.8,-2150093.26587888,5608735.65578802,2144809.00661949,-412.996326749879,-146.346509672109,3.97187392459726,19.6499998436996,110.966666991653,30.6352508664131,-0.00700854953726122,0.0159494200901688,438.176953506884,11.8655779173797,438.016267557794,170286.876762197,1,2800000,90,69.1575120390414,0.539459394192538,-0.201078458225665,-0.540395718245182,0.613615093814749,2.4521371314089e-05,-6.417932876299e-05,2.44371584436618e-05,1.22059286647777,85.9250477734115,97.5501979181987,-254.569106217277,-96.8431435017307
1.9,-2150134.57671345,5608721.05035809,2144809.41498118,-413.220415799006,-145.761957174107,4.19541039553747,19.6499998258514,110.966666990179,31.8551888139918,-0.00785982507683609,0.0177513167041336,438.195460566077,12.5333310861733,438.016183802152,170191.703248986,1,2800000,90,69.1575120390414,0.539457156861554,-0.201076488030082,-0.540396451323461,0.613617060771086,2.45213619093897e-05,-6.41792443081858e-05,2.44373064327827e-05,1.2204176969827,95.8545392899384,108.823064970442,-283.986970798115,-108.034672298328
2,-2150175.9099723,5608706.50342291,2144809.84571165,-413.44481254688,-145.176614803224,4.41924957921107,19.6499998070386,110.966666988542,33.1419470869005,-0.00876540156143318,0.0196474362572553,438.215006902424,13.2019843597329,438.016095461636,170096.529735774,1,2800000,90,69.1575120390414,0.53945491952107,-0.20107451783869,-0.540397184391071,0.613619027722135,2.45213519876041e-05,-6.41791585118158e-05,2.4437453900654e-05,1.22023296007601,106.33894358839,120.725916658004,-315.048842098391,-119.851698862594
2.1,-2150217.26568621,5608692.01506146,2144810.29884118,-413.669516980694,-144.59048262861,4.64339145281628,19.6499997872612,110.966666986731,34.4956156872213,-0.00972613450373764,0.0216374484238216,438.235596488919,13.8715376652016,438.016002530503,170001.356222563,1,2800000,90,69.1575120390414,0.539452682171131,-0.201072547651529,-0.540397917447997,0.613620994667852,2.45213415501199e-05,-6.4179071370688e-05,2.44376008507449e-05,1.22003864719093,117.379960827055,133.26068305268,-347.759754952443,-132.296145286318
2.2,-2150258.64388595,5608677.58535271,2144810.77440003,-413.894529086488,-144.003560722479,4.86783599238809,19.6499997665194,110.966666984739,35.9162846179679,-0.010742882809004,0.0237210227435472,438.257233295387,14.5419909262506,438.015905003035,169906.182709352,1,2800000,90,69.1575120390414,0.539450444811786,-0.201070577468642,-0.540398650494224,0.613622961608196,2.45213305970759e-05,-6.41789828811945e-05,2.44377472848598e-05,1.21983474999551,128.979265777801,146.429265438236,-382.124668963541,-145.36990506581
2.3,-2150300.04460228,5608663.21437564,2144811.27241847,-414.119848849168,-143.415849160069,5.09258317281261,19.6499997448131,110.966666982556,37.4040438691154,-0.0118165049324295,0.0258978285907703,438.279921288363,15.2133440631208,438.015802873538,169811.009196141,1,2800000,90,69.1575120390414,0.539448207443081,-0.20106860729007,-0.540399383529737,0.613624928543127,2.45213191287496e-05,-6.4178893044029e-05,2.44378931988351e-05,1.21962126039327,141.138507608991,160.233536064191,-418.148467860839,-159.074842856765
2.4,-2150341.46786597,5608648.9022092,2144811.79292676,-414.345476252516,-142.827348019606,5.31763296784144,19.6499997221424,110.966666980173,38.9589834231883,-0.0129478627089929,0.0281675330930472,438.303664430973,15.8855969926672,438.015696136343,169715.835682929,1,2800000,90,69.1575120390414,0.539445970065064,-0.201066637115854,-0.54040011655452,0.613626895472603,2.4521307140839e-05,-6.41788018611346e-05,2.44380385911445e-05,1.21939817052398,153.859309669645,174.675337901009,-455.835958859993,-173.412794230513
2.5,-2150382.91370779,5608634.64893235,2144812.33595515,-414.571411279209,-142.238057382265,5.54298535010639,19.6499996985072,110.966666977583,40.5811932571232,-0.0141378163878481,0.0305298045467779,438.328466682814,16.5587496284018,438.015584785805,169620.662169718,1,2800000,90,69.1575120390414,0.539443732677782,-0.201064666946034,-0.540400849568559,0.613628862396581,2.45212946332051e-05,-6.41787093269598e-05,2.4438183463453e-05,1.21916547276452,167.143269274892,189.756484396751,-495.191872027636,-188.385565431741
2.6,-2150424.38215848,5608620.45462404,2144812.90153391,-414.79765391083,-141.647977332129,5.7686402911343,19.6499996739078,110.966666974775,42.2707633376122,-0.0153872287271263,0.0329843097295163,438.354331999834,17.2328018805383,438.015468816304,169525.488656507,1,2800000,90,69.1575120390414,0.539441495281282,-0.201062696780654,-0.540401582571837,0.61363082931502,2.45212816080686e-05,-6.41786154380353e-05,2.44383278093771e-05,1.21892315972988,180.991957492741,205.478759235215,-536.220859649731,-203.994933137671
2.7,-2150465.87324882,5608606.31936319,2144813.48969329,-415.024204127888,-141.057107956152,5.994597761362,19.649999648344,110.966666971742,44.0277836173773,-0.0166969626116828,0.0355307147699802,438.38126433421,17.9077536560371,438.015348222246,169430.315143295,1,2800000,90,69.1575120390414,0.539439257875612,-0.201060726619754,-0.54040231556434,0.613632796227879,2.45212680630701e-05,-6.41785201964429e-05,2.44384716315535e-05,1.21867122427365,195.406918932112,221.843916095524,-578.927495603676,-220.242644218682
